,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,season
56,E0,23/09/01,Leeds,Derby,3,0,H,1,0,H,39155.0,A. G. Wiley,19,9,10,2,0,0,9,3,26,17,2,4,1,2,0,0,10,20,,,,1.35,3.8,6.2,1.33,4.0,8.0,1.33,4.0,8.5,1.33,4.33,7.5,1.36,3.6,9.0,0102
57,E0,23/09/01,West Ham,Newcastle,3,0,H,1,0,H,28840.0,P. Jones,17,8,9,5,0,0,10,7,20,17,5,5,3,0,0,0,30,0,,,,2.4,2.9,2.4,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.2,2.5,2.62,3.2,2.3,0102
58,E0,24/09/01,Southampton,Aston Villa,1,3,A,1,2,A,26794.0,S. W. Dunn,12,11,4,5,0,1,2,3,15,18,0,4,1,2,1,1,35,45,,,,2.4,2.9,2.4,2.75,3.2,2.25,2.7,3.2,2.3,2.62,3.2,2.38,2.7,3.0,2.4,0102
59,E0,26/09/01,Newcastle,Leicester,1,0,H,1,0,H,49185.0,D. Pugh,12,2,6,2,0,0,10,1,17,27,5,5,2,3,0,0,20,30,,,,1.5,3.4,4.7,1.57,3.25,5.5,1.53,3.5,5.5,1.5,3.5,6.0,1.53,3.4,5.5,0102
60,E0,29/09/01,Bolton,Sunderland,0,2,A,0,0,D,24520.0,D. R. Elleray,15,14,8,7,0,0,8,4,10,13,5,11,1,1,0,0,10,10,,,,2.1,2.9,2.9,2.62,2.87,2.5,2.3,3.2,2.75,2.25,3.25,2.75,2.2,3.2,2.8,0102
61,E0,29/09/01,Charlton,Leicester,2,0,H,1,0,H,20451.0,M. L. Dean,14,9,12,6,1,0,4,4,12,11,4,2,1,2,1,1,35,45,,,,1.85,3.0,3.3,1.83,3.2,3.75,1.83,3.3,3.8,1.83,3.5,3.5,1.83,3.2,3.75,0102
62,E0,29/09/01,Derby,Arsenal,0,2,A,0,1,A,29200.0,R. Styles,7,11,5,6,0,0,2,5,18,19,4,3,3,3,0,1,30,55,,,,3.3,3.0,1.85,3.5,3.2,1.91,3.8,3.25,1.83,3.6,3.4,1.83,4.0,3.1,1.8,0102
63,E0,29/09/01,Everton,West Ham,5,0,H,1,0,H,32049.0,P. A. Durkin,18,15,11,5,0,1,8,4,15,8,0,4,0,0,0,0,0,0,,,,2.0,2.9,3.0,1.91,3.2,3.5,2.0,3.25,3.4,2.0,3.25,3.25,1.9,3.25,3.4,0102
64,E0,29/09/01,Middlesbrough,Southampton,1,3,A,0,0,D,26142.0,A. G. Wiley,5,8,3,4,1,1,6,0,16,17,4,3,0,1,0,0,0,10,,,,1.75,3.1,3.6,1.73,3.4,4.0,1.73,3.25,4.33,1.73,3.5,4.0,1.72,3.25,4.2,0102
65,E0,29/09/01,Tottenham,Man United,3,5,A,3,0,H,36038.0,J. T. Winter,7,18,3,9,0,0,4,7,16,10,3,2,3,3,0,0,30,30,,,,2.9,2.9,2.1,3.0,3.2,2.1,3.6,3.25,1.9,3.4,3.4,1.91,3.2,3.2,2.0,0102
66,E0,30/09/01,Aston Villa,Blackburn,2,0,H,0,0,D,28623.0,M. R. Halsey,5,4,2,1,0,1,2,8,9,15,3,4,2,2,0,0,20,20,,,,1.8,3.0,3.5,1.61,3.25,5.0,1.8,3.1,4.33,1.8,3.25,4.0,1.72,3.2,4.33,0102
67,E0,30/09/01,Fulham,Chelsea,1,1,D,0,1,A,21159.0,G. Poll,4,9,1,3,0,1,5,7,5,14,5,0,1,4,0,1,10,65,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.2,2.5,2.5,3.4,2.38,2.62,2.9,2.5,0102
68,E0,30/09/01,Ipswich,Leeds,1,2,A,1,0,H,22643.0,A. P. D'Urso,11,11,6,7,1,0,10,8,8,8,0,11,0,1,0,0,0,10,,,,2.9,2.9,2.1,3.0,3.2,2.1,3.25,3.25,2.0,3.25,3.25,2.0,3.2,3.0,2.1,0102
69,E0,30/09/01,Newcastle,Liverpool,0,2,A,0,1,A,52095.0,G. P. Barber,7,6,3,2,0,0,7,0,14,23,3,5,1,4,0,0,10,40,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.7,3.25,2.3,2.75,3.25,2.25,2.75,3.1,2.3,0102
70,E0,13/10/01,Bolton,Newcastle,0,4,A,0,1,A,25631.0,M. A. Riley,9,15,3,8,0,1,7,8,10,9,2,6,2,2,1,0,45,20,,,,2.5,3.0,2.5,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.4,3.1,2.6,0102
71,E0,13/10/01,Charlton,Middlesbrough,0,0,D,0,0,D,20451.0,D. R. Elleray,8,11,4,4,0,0,13,4,14,13,6,0,2,1,0,0,20,10,,,,2.2,3.0,2.9,2.0,3.2,3.2,,,,1.91,3.25,3.5,2.0,3.2,3.2,0102
72,E0,13/10/01,Chelsea,Leicester,2,0,H,2,0,H,40370.0,J. T. Winter,22,8,10,2,1,0,5,3,9,13,1,5,0,0,0,0,0,0,,,,1.35,4.0,7.0,1.33,4.0,8.0,,,,1.36,4.33,6.5,1.28,4.5,8.0,0102
73,E0,13/10/01,Ipswich,Everton,0,0,D,0,0,D,22820.0,C. R. Wilkes,7,9,4,6,0,0,8,6,8,5,4,7,0,1,0,0,0,10,,,,2.0,3.1,3.2,2.2,3.2,2.8,,,,2.0,3.25,3.25,2.0,3.2,3.2,0102
74,E0,13/10/01,Liverpool,Leeds,1,1,D,0,1,A,44352.0,A. G. Wiley,10,9,2,3,1,0,6,4,11,14,0,2,3,2,0,0,30,20,,,,2.0,3.1,3.2,,,,,,,2.1,3.25,3.0,2.2,3.2,2.8,0102
75,E0,13/10/01,Southampton,Arsenal,0,2,A,0,1,A,29759.0,G. P. Barber,3,21,0,8,0,2,1,6,15,9,2,7,2,1,1,0,45,10,,,,3.6,3.2,1.8,4.33,3.2,1.73,,,,4.0,3.4,1.73,4.33,3.2,1.72,0102
76,E0,13/10/01,Sunderland,Man United,1,3,A,0,1,A,48305.0,G. Poll,15,13,7,8,1,2,3,4,12,15,1,8,0,0,0,0,0,0,,,,3.2,3.1,2.0,3.2,3.2,2.0,,,,3.4,3.4,1.91,3.5,3.2,1.9,0102
77,E0,14/10/01,Aston Villa,Fulham,2,0,H,0,0,D,28579.0,P. A. Durkin,9,11,3,3,0,0,5,2,9,8,3,0,1,1,0,0,10,10,,,,1.8,3.1,3.8,1.8,3.2,4.0,,,,1.8,3.25,4.0,1.9,3.0,3.75,0102
78,E0,14/10/01,Blackburn,West Ham,7,1,H,3,1,H,22712.0,A. P. D'Urso,24,12,14,5,0,0,7,7,8,6,2,0,1,3,0,1,10,55,,,,1.85,3.1,3.6,1.8,3.2,4.0,,,,1.8,3.4,3.75,1.83,3.2,3.75,0102
79,E0,15/10/01,Tottenham,Derby,3,1,H,2,1,H,30148.0,M. R. Halsey,24,8,12,6,1,0,16,2,11,6,3,2,0,2,0,0,0,20,,,,1.6,3.4,4.6,1.5,3.4,6.0,,,,1.53,3.5,5.5,1.53,3.4,5.5,0102
80,E0,20/10/01,Arsenal,Blackburn,3,3,D,0,1,A,38108.0,U. D. Rennie,18,9,11,5,0,0,5,4,13,20,5,8,1,2,0,0,10,20,1.34,4.0,8.0,1.4,3.9,6.0,1.3,4.33,8.0,,,,1.33,4.33,7.5,,,,0102
81,E0,20/10/01,Derby,Charlton,1,1,D,1,0,H,30221.0,A. P. D'Urso,10,11,5,7,0,0,5,5,12,11,7,5,3,0,0,0,30,0,2.3,3.0,2.9,2.1,3.0,3.1,2.37,3.2,2.6,,,,2.38,3.2,2.6,2.25,3.2,2.75,0102
82,E0,20/10/01,Everton,Aston Villa,3,2,H,1,0,H,33352.0,R. Styles,10,11,6,3,0,0,8,4,15,14,5,5,0,1,0,0,0,10,2.5,3.1,2.55,2.5,3.0,2.5,2.4,3.25,2.5,,,,2.5,3.2,2.5,2.62,2.9,2.5,0102
83,E0,20/10/01,Leicester,Liverpool,1,4,A,0,3,A,21886.0,M. R. Halsey,8,12,3,6,0,0,6,6,11,13,1,1,1,2,0,0,10,20,4.35,3.35,1.7,4.0,3.3,1.7,4.5,3.25,1.67,,,,4.33,3.25,1.73,4.5,3.3,1.66,0102
84,E0,20/10/01,Man United,Bolton,1,2,A,1,1,D,67559.0,G. P. Barber,13,7,6,2,0,0,8,0,11,6,4,7,0,0,0,0,0,0,1.17,5.25,13.0,1.25,4.5,9.0,1.17,5.5,12.0,,,,1.2,5.5,10.0,1.16,5.5,12.0,0102
85,E0,20/10/01,West Ham,Southampton,2,0,H,0,0,D,25842.0,N. S. Barry,20,10,8,3,1,0,10,7,16,16,3,1,0,1,0,1,0,35,1.9,3.3,3.55,2.0,3.1,3.2,1.91,3.2,3.5,,,,2.0,3.25,3.25,1.9,3.2,3.5,0102
86,E0,21/10/01,Fulham,Ipswich,1,1,D,1,0,H,17221.0,M. A. Riley,7,6,3,2,0,0,3,3,25,17,3,9,2,3,1,0,45,30,1.8,3.2,4.0,1.8,3.1,3.8,1.73,3.4,4.0,,,,1.8,3.25,4.0,1.72,3.2,4.33,0102
87,E0,21/10/01,Leeds,Chelsea,0,0,D,0,0,D,40171.0,P. A. Durkin,18,14,12,6,0,1,10,8,20,17,0,0,2,3,0,0,20,30,1.85,3.2,3.8,1.9,3.1,3.5,1.8,3.2,4.0,,,,1.8,3.25,4.0,1.72,3.25,4.2,0102
88,E0,21/10/01,Newcastle,Tottenham,0,2,A,0,2,A,50593.0,A. G. Wiley,8,9,3,3,0,1,7,2,16,10,6,3,2,1,0,0,20,10,1.85,3.2,3.8,1.85,3.2,3.5,1.83,3.2,3.75,,,,1.83,3.4,3.6,1.83,3.2,3.75,0102
